
0 242.303247015803 -8187.36502930631 10621.034614522 10337.3602602218 -99.9771512865787 0.797172975450091 106307.306180544 98.5375759348039 32.8458586449346 32.8458586449346 0 0
10000 250.030250763394 -8258.5634497219 11195.8614137548 11093.035808104 -1017.25262589215 0.797172975450091 106307.306180544 98.5375759348039 32.8458586449346 32.8458586449346 -591.0980004257 -167.176705804544
20000 252.367215877384 -8246.73341922128 11117.3008013921 11102.5347015244 -65.8234935055489 0.797172975450091 106307.306180544 98.5375759348039 32.8458586449346 32.8458586449346 -638.539736727477 -127.668182488629
30000 253.716248493334 -8297.13453792774 11196.9130102412 11175.7498924716 -912.864283323507 0.797172975450091 106307.306180544 98.5375759348039 32.8458586449346 32.8458586449346 -648.47007403727 -192.07552704798
40000 255.240196958189 -8304.8003856738 11255.350442587 11276.231158717 -922.863835931951 0.797172975450091 106307.306180544 98.5375759348039 32.8458586449346 32.8458586449346 -713.120585715649 -227.84950184569
50000 257.310954637936 -8276.60819588123 11312.1250262897 11428.743986032 -929.573216980166 0.797172975450091 106307.306180544 98.5375759348039 32.8458586449346 32.8458586449346 -809.145454166286 -285.496905385505
60000 259.856297204706 -8260.15638968107 11239.2195046776 11455.3168109468 -331.501365904141 0.797172975450091 106307.306180544 98.5375759348039 32.8458586449346 32.8458586449346 -872.000628946138 -249.051686082733
70000 259.669888710043 -8297.01740546725 11396.92406305 11570.0798940297 -1406.17353249982 0.797172975450091 106307.306180544 98.5375759348039 32.8458586449346 32.8458586449346 -950.840964871463 -284.965879961672
80000 262.895749271437 -8299.17864071654 11398.8165724009 11675.0355279035 -333.209192759728 0.797172975450091 106307.306180544 98.5375759348039 32.8458586449346 32.8458586449346 -1012.01622363105 -327.222789535216
90000 261.333937619105 -8235.12655777319 11386.3733745602 11675.6996718824 -574.270196246791 0.797172975450091 106307.306180544 98.5375759348039 32.8458586449346 32.8458586449346 -973.238389928892 -368.124682319952
100000 263.848914157306 -8313.90674299299 11443.2334904734 11735.8156332839 -1278.09234711813 0.797172975450091 106307.306180544 98.5375759348039 32.8458586449346 32.8458586449346 -1029.92207268785 -371.154491044279
110000 261.333880624962 -8301.27413437697 11590.9481614743 11814.1250231006 -301.626849512094 0.797172975450091 106307.306180544 98.5375759348039 32.8458586449346 32.8458586449346 -1093.05696458582 -385.48380627249
120000 265.343346992793 -8261.57736219888 11532.2199691023 11925.878403909 -518.623170926207 0.797172975450091 106307.306180544 98.5375759348039 32.8458586449346 32.8458586449346 -1177.11431041719 -414.211650032778
130000 265.799581825955 -8267.87168994215 11589.6062153926 11991.8522484759 -175.039629011302 0.797172975450091 106307.306180544 98.5375759348039 32.8458586449346 32.8458586449346 -1200.56295902659 -453.49455641467
140000 266.782789645496 -8267.20105669504 11564.4801694889 11999.4680959886 -781.06688876371 0.797172975450091 106307.306180544 98.5375759348039 32.8458586449346 32.8458586449346 -1236.55859232633 -428.685650772182
150000 264.471645419511 -8251.66174513143 11607.451593926 11982.5916083656 195.084514185041 0.797172975450091 106307.306180544 98.5375759348039 32.8458586449346 32.8458586449346 -1194.42527881796 -454.782705115908
160000 267.288435899256 -8224.59294715996 11586.6284513868 12080.7181647862 -231.861902039657 0.797172975450091 106307.306180544 98.5375759348039 32.8458586449346 32.8458586449346 -1253.80371843028 -491.635311786564
170000 268.289293387788 -8290.83226028989 11672.7544653531 12133.2518404219 -1060.26709949787 0.797172975450091 106307.306180544 98.5375759348039 32.8458586449346 32.8458586449346 -1298.22713492764 -499.784277011896
180000 266.827618659946 -8224.80723998292 11702.7823258085 12181.6263468388 44.9035484289574 0.797172975450091 106307.306180544 98.5375759348039 32.8458586449346 32.8458586449346 -1328.96781970196 -517.554514061509
190000 268.91539760351 -8251.85514861417 11646.827262056 12166.7246449538 -977.428786949799 0.797172975450091 106307.306180544 98.5375759348039 32.8458586449346 32.8458586449346 -1346.33684606915 -486.188083275574
200000 271.575729132707 -8280.05716439291 11608.6736674771 12187.1464003916 -289.362515233464 0.797172975450091 106307.306180544 98.5375759348039 32.8458586449346 32.8458586449346 -1321.67729435833 -532.158462842827
