# Chunk-averaged data for fix 1 and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp
2000000 84 10944.000000000004
  34 0.396341 133.367 302.649
  35 0.408537 141.031 302.867
  36 0.420732 121.751 301.281
  37 0.432927 131.987 300.811
  38 0.445122 124.682 300.317
  39 0.457317 143.126 299.243
  40 0.469512 148.089 298.235
  41 0.481707 142.234 298.693
  42 0.493902 132.668 298.522
  43 0.506098 122.288 297.86
  44 0.518293 142.635 297.447
  45 0.530488 146.809 297.001
  46 0.542683 134.313 296.587
  47 0.554878 116.058 294.929
  48 0.567073 127.372 294.555
  49 0.579268 142.776 293.332
  50 0.591463 134.66 292.912
  51 0.603659 128.982 291.419
  52 0.615854 128.969 289.602
  53 0.628049 129.217 289.382
  54 0.640244 129.647 289.962
  55 0.652439 118.407 289.691
  56 0.664634 131.28 289.112
  57 0.676829 142.895 288.409
  58 0.689024 148.48 288.086
  59 0.70122 137.023 288.062
  60 0.713415 127.914 287.689
  61 0.72561 142.364 286.652
  62 0.737805 131.097 285.554
  63 0.75 127.946 284.625
  64 0.762195 125.536 284.534
  65 0.77439 125.849 282.754
  66 0.786585 135.381 281.373
  67 0.79878 142.95 280.172
  68 0.810976 149.586 280.413
  69 0.823171 133.101 280.615
  70 0.835366 127.504 280.003
  71 0.847561 126.935 278.899
  72 0.859756 143.183 278.369
  73 0.871951 144.037 278.176
  74 0.884146 120.497 278.09
  75 0.896341 127.547 278.226
  76 0.908537 141.319 73.4048
  77 0.920732 152 0
  78 0.932927 133 0
  79 0.945122 125 0
  80 0.957317 129 0
  81 0.969512 120 0
  82 0.981707 120 0
  83 0.993902 131 0
  84 1.0061 0 0
8000000 84 10944.000000000002
  1 -0.00609756 0 0
  2 0.00609756 143 0
  3 0.0182927 139 0
  4 0.0304878 145 0
  5 0.0426829 128 0
  6 0.054878 132 0
  7 0.0670732 123 8.40481e-06
  8 0.0792683 130.061 0.148905
  9 0.0914634 130.158 107.762
  10 0.103659 134.658 318.046
  11 0.115854 127.383 318.011
  12 0.128049 144.147 318.032
  13 0.140244 151.501 317.828
  14 0.152439 129.568 317.507
  15 0.164634 132.687 316.952
  16 0.176829 125.787 315.623
  17 0.189024 147.033 315.267
  18 0.20122 135.082 315.029
  19 0.213415 126.948 313.64
  20 0.22561 121.432 314.027
  21 0.237805 134.809 313.247
  22 0.25 139.866 312.558
  23 0.262195 131.411 312.518
  24 0.27439 132.62 311.864
  25 0.286585 127.827 311.146
  26 0.29878 125.556 310.224
  27 0.310976 129.409 309.048
  28 0.323171 118.107 308.077
  29 0.335366 130.188 308.082
  30 0.347561 144.221 307.694
  31 0.359756 142.719 307.43
  32 0.371951 134.193 305.933
  33 0.384146 136.824 304.492
  34 0.396341 138.188 303.784
  35 0.408537 137.895 303.91
  36 0.420732 122.173 302.808
  37 0.432927 131.217 300.416
  38 0.445122 127.165 298.953
  39 0.457317 140.494 298.135
  40 0.469512 148.613 298.034
  41 0.481707 147.4 296.785
  42 0.493902 132.742 295.816
  43 0.506098 121.673 295.01
  44 0.518293 139.495 294.657
  45 0.530488 149.41 294.645
  46 0.542683 131.11 293.312
  47 0.554878 118.087 292.187
  48 0.567073 127.598 291.063
  49 0.579268 139.552 290.58
  50 0.591463 130.724 290.464
  51 0.603659 128.952 289.545
  52 0.615854 129.289 288.105
  53 0.628049 128.265 286.783
  54 0.640244 129.342 286.199
  55 0.652439 120.984 284.468
  56 0.664634 131.219 284.135
  57 0.676829 141.313 282.675
  58 0.689024 147.916 282.869
  59 0.70122 137.538 282.569
  60 0.713415 127.186 282.347
  61 0.72561 142.295 281.674
  62 0.737805 132.395 280.484
  63 0.75 134.392 280.618
  64 0.762195 133.279 280.103
  65 0.77439 124.083 280.205
  66 0.786585 132.264 279.619
  67 0.79878 141.113 279.628
  68 0.810976 150.479 279.388
  69 0.823171 133.729 278.774
  70 0.835366 125.028 278.522
  71 0.847561 129.311 278.399
  72 0.859756 141.448 278.272
  73 0.871951 141.898 278.132
  74 0.884146 122.541 278.189
  75 0.896341 128.778 278.129
  76 0.908537 141.233 73.3599
  77 0.920732 152 0
  78 0.932927 133 0
  79 0.945122 125 0
  80 0.957317 129 0
  81 0.969512 120 0
  82 0.981707 120 0
  83 0.993902 131 0
  84 1.0061 0 0
10000000 84 10944
  1 -0.00609756 0 0
  2 0.00609756 143 0
  3 0.0182927 139 0
  4 0.0304878 145 0
  5 0.0426829 128 0
  6 0.054878 132 0
  7 0.0670732 123 0
  8 0.0792683 130.032 0.075978
  9 0.0914634 130.086 107.443
  10 0.103659 137.24 317.907
  11 0.115854 128.781 318.216
  12 0.128049 144.377 317.807
  13 0.140244 148.93 318.048
